value,variable,year,country,continent,mean_GDPPP,change_bii,change_gdp
0.367548555135727,bii,1970,Uruguay,Americas,6103.8742805,0,0
0.678970873355865,bii,1970,Dominican Republic,Americas,2435.9316995,0,0
0.915980100631714,bii,1970,Pakistan,Asia,1112.930087,0,0
0.806017398834229,bii,1970,Morocco,Africa,2150.4074755,0,0
0.746500253677368,bii,1970,Philippines,Asia,2181.2891785,0,0
0.604326844215393,bii,1970,Guinea,Africa,808.1760475000001,0,0
0.392500162124634,bii,1970,Singapore,Asia,9903.922841,0,0
0.751957595348358,bii,1970,Gambia,Africa,820.4210435,0,0
0.516928732395172,bii,1970,Nigeria,Africa,1840.170322,0,0
0.680191040039062,bii,1970,Albania,Europe,3423.213049,0,0
0.829121947288513,bii,1970,Senegal,Africa,1579.740586,0,0
0.702165961265564,bii,1970,Mozambique,Africa,613.61876855,0,0
0.622248470783234,bii,1970,Bosnia and Herzegovina,Europe,3194.3255275,0,0
0.826385796070099,bii,1970,Malawi,Africa,623.9228237499999,0,0
0.620099306106567,bii,1970,Spain,Europe,11937.83624,0,0
0.774593412876129,bii,1970,Croatia,Europe,10234.737648499999,0,0
0.900304913520813,bii,1970,Zambia,Africa,1681.0932819999998,0,0
0.735263645648956,bii,1970,Portugal,Europe,9597.366568500001,0,0
0.946389853954315,bii,1970,Zimbabwe,Africa,742.47492895,0,0
0.591985106468201,bii,1970,Poland,Europe,8757.3242235,0,0
0.83187472820282,bii,1970,Gabon,Africa,16573.760845,0,0
0.935453057289124,bii,1970,Finland,Europe,14982.149365,0,0
0.803081870079041,bii,1970,Chad,Africa,1119.0444685,0,0
0.827884495258331,bii,1970,Botswana,Africa,2739.234466,0,0
0.767988801002502,bii,1970,Namibia,Africa,3811.283453,0,0
0.647369563579559,bii,1970,Austria,Europe,18205.52395,0,0
0.495136260986328,bii,1970,Switzerland,Europe,27088.70178,0,0
0.716960310935974,bii,1970,Colombia,Americas,3540.2339555,0,0
0.871626496315002,bii,1970,Ecuador,Americas,5980.308985,0,0
0.468164950609207,bii,1970,El Salvador,Americas,4829.584191,0,0
0.44877952337265,bii,1970,Puerto Rico,Americas,9446.783331499999,0,0
0.800195336341858,bii,1970,Trinidad and Tobago,Americas,7259.552814000001,0,0
